award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
2001,Economic Sciences,1/3,10000000,12295082,2001-10-10,745,A. Michael Spence,male,1943-00-00,North America,USA,not dead or organization,Individual
1975,Physics,1/3,630000,3404179,1975-10-17,102,Aage N. Bohr,male,1922-06-19,Europe,Denmark,2009-09-08,Individual
2004,Chemistry,1/3,10000000,11762861,2004-10-06,779,Aaron Ciechanover,male,1947-10-01,Asia,British Protectorate of Palestine,not dead or organization,Individual
1982,Chemistry,1,1150000,3102518,1982-10-18,259,Aaron Klug,male,1926-08-11,Europe,Lithuania,2018-11-20,Individual
1979,Physics,1/3,800000,2988048,1979-10-15,114,Abdus Salam,male,1926-01-29,Asia,India,1996-11-21,Individual
2019,Economic Sciences,1/3,9000000,9000000,2019-10-14,982,Abhijit Banerjee,male,1961-02-21,Asia,India,not dead or organization,Individual
2019,Peace,1,9000000,9000000,2019-10-11,981,Abiy Ahmed Ali,male,1976-08-15,Africa,Ethiopia,not dead or organization,Individual
2009,Chemistry,1/3,10000000,10958504,2009-10-07,843,Ada E. Yonath,female,1939-06-22,Asia,British Mandate of Palestine,not dead or organization,Individual
2011,Physics,1/4,10000000,10545557,2011-10-04,866,Adam G. Riess,male,1969-12-16,North America,USA,not dead or organization,Individual
1939,Chemistry,1/2,148822,4227898,not specified,199,Adolf Butenandt,male,1903-03-24,Europe,Germany,1995-01-18,Individual
1905,Chemistry,1,138089,7615202,not specified,164,Adolf von Baeyer,male,1835-10-31,Europe,Prussia,1917-08-20,Individual
1928,Chemistry,1,156939,4458494,not specified,185,Adolf Windaus,male,1876-12-25,Europe,Germany,1959-06-09,Individual
1980,Peace,1,880000,2889667,1980-10-27,541,Adolfo Pérez Esquivel,male,1931-11-26,South America,Argentina,not dead or organization,Individual
1999,Chemistry,1,7900000,10049186,1999-10-12,292,Ahmed Zewail,male,1946-02-26,Africa,Egypt,2016-08-02,Individual
2010,Chemistry,1/3,10000000,10819388,2010-10-06,853,Akira Suzuki,male,1930-09-12,Asia,Japan,not dead or organization,Individual
2019,Chemistry,1/3,9000000,9000000,2019-10-09,978,Akira Yoshino,male,1948-01-30,Asia,Japan,not dead or organization,Individual
2007,Peace,1/2,10000000,11301989,2007-10-12,819,Al Gore,male,1948-03-31,North America,USA,not dead or organization,Individual
2000,Chemistry,1/3,9000000,11333109,2000-10-10,729,Alan Heeger,male,1936-01-22,North America,USA,not dead or organization,Individual
1963,Physiology or Medicine,1/3,265000,2839286,not specified,376,Alan Hodgkin,male,1914-02-05,Europe,United Kingdom,1998-12-20,Individual
2000,Chemistry,1/3,9000000,11333109,2000-10-10,730,Alan MacDiarmid,male,1927-04-14,Oceania,New Zealand,2007-02-07,Individual
1907,Physics,1,138796,7033581,not specified,11,Albert A. Michelson,male,1852-12-19,Europe,Prussia,1931-05-09,Individual
1957,Literature,1,208629,2697789,not specified,628,Albert Camus,male,1913-11-07,Africa,French Algeria,1960-01-04,Individual
